uid,item_class,name,description,id,leaderboardid,startdate,activeduration,inactiveDuration,invalidduration,numresets,ChallengeName,ChallengeDescription,ScriptType,ScriptParameters,Lifetime,BronzeGoal,SilverGoal,GoldGoal,LeaderboardType,FacebookURL,GoalNoun,IsTime,BronzeReward,SilverReward,GoldReward,FriendsBeatenReward
challenge12,challenges,Challenge Frag Out,,12,38,1343786400,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_FRAG_OUT,S_GMG_CHALLENGE_DESC_FRAG_OUT,MostFragKillsTimedChallenge,,1800,15,25,35,MaxOnTop,,S_GMG_NOUN_KILLS, FALSE,5,10,30,6
challenge13,challenges,Challenge Sharp Shooter,,13,39,1343787000,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_SHARP_SHOOTER,S_GMG_CHALLENGE_DESC_SHARP_SHOOTER,MostHeadshotsRaceChallenge,1,10,1200,600,300,MinOnTop,,S_GMG_NOUN_HEADSHOTS, TRUE,5,10,30,6
challenge14,challenges,Challenge Weapons Free,,14,40,1343787600,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_WEAPONS_FREE,S_GMG_CHALLENGE_DESC_WEAPONS_FREE,KillMostEnemiesTimedChallenge,,1200,20,40,60,MaxOnTop,,S_GMG_NOUN_KILLS, FALSE,5,10,30,6
challenge15,challenges,Challenge Fast Learner,,15,41,1343788200,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_FAST_LEARNER,S_GMG_CHALLENGE_DESC_FAST_LEARNER,EarnXPRaceChallenge,0,5000,2400,1200,600,MinOnTop,,S_GMG_NOUN_XP, TRUE,5,10,30,6
challenge16,challenges,Challenge Kill Confirmed,,16,42,1343788800,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_KILL_CONFIRMED,S_GMG_CHALLENGE_DESC_KILL_CONFIRMED,AssaultRifleKillsTimedChallenge,,1800,20,40,60,MaxOnTop,,S_GMG_NOUN_KILLS,FALSE,5,10,30,6
challenge17,challenges,Challenge Deadly Accuracy,,17,43,1343789400,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_DEADLY_ACCURACY,S_GMG_CHALLENGE_DESC_DEADLY_ACCURACY,SpecOpsBestAccuracyOneRunChallenge,1,1,65,75,85,MaxOnTop,,S_GMG_NOUN_ACCURACY,FALSE,5,10,30,6
challenge18,challenges,Challenge Come At Me Bro,,18,44,1343790000,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_COME_AT_ME_BRO,S_GMG_CHALLENGE_DESC_COME_AT_ME_BRO,ClaymoreKillsRaceChallenge,0,5,1200,600,300,MinOnTop,,S_GMG_NOUN_ROUNDS, TRUE,5,10,30,6
challenge19,challenges,Challenge One Shot One Kill,,19,45,1343790600,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_ONE_SHOT_ONE_KILL,S_GMG_CHALLENGE_DESC_ONE_SHOT_ONE_KILL,SniperKillsRaceChallenge,0,30,1800,1200,600,MinOnTop,,S_GMG_NOUN_KILLS, TRUE,5,10,30,6
challenge20,challenges,Challenge No Time To Bleed,,20,46,1343791200,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_NO_TIME_TO_BLEED,S_GMG_CHALLENGE_DESC_NO_TIME_TO_BLEED,LMGKillsTimedChallenge,1,1800,20,40,60,MaxOnTop,,S_GMG_NOUN_KILLS, FALSE,5,10,30,6
challenge21,challenges,Challenge Kill Streak King,,21,47,1343791800,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_KILL_STREAK_KING,S_GMG_CHALLENGE_DESC_KILL_STREAK_KING,MultiKillRaceChallenge,0,20,1200,900,480,MinOnTop,,S_GMG_NOUN_MULTI_KILLS, TRUE,5,10,30,6
challenge22,challenges,Challenge Blowout,,22,48,1343792400,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_BLOWOUT,S_GMG_CHALLENGE_DESC_BLOWOUT,GrenadeKillsRaceChallenge,0,20,1200,900,480,MinOnTop,,S_GMG_NOUN_KILLS, TRUE,5,10,30,6
challenge23,challenges,Challenge Well Stocked,,23,49,1343793000,3600,3600,7200,50000,S_GMG_CHALLENGE_TITLE_WELL_STOCKED,S_GMG_CHALLENGE_DESC_WELL_STOCKED,AmmoCacheOneRunChallenge,1,1,3,6,10,MaxOnTop,,S_GMG_NOUN_AMMO_CACHES,FALSE,5,10,30,6
